id,name,area,dazhihui,eastmoney,jinrongjie,jinrongjie_score,tonghuashun
000760,*ST斯太,SZ,5.9,55.81,20.0,52.34,4.9
000761,本钢板材,SZ,6.0,67.6,22.01,61.07,6.3
000762,西藏矿业,SZ,7.1,62.86,20.17,71.90,4.5
000766,通化金马,SZ,6.3,50.01,20.12,49.91,3.6
000767,漳泽电力,SZ,6.5,69.38,20.0,48.26,4.7
000768,中航飞机,SZ,7.4,79.65,58.25,57.28,6.3
000776,广发证券,SZ,7.3,77.64,20.0,62.05,5.5
000777,中核科技,SZ,6.6,63.02,20.09,74.02,4.1
000778,新兴铸管,SZ,7.2,71.22,20.32,64.84,5.2
000779,甘咨询,SZ,6.2,64.81,21.32,69.04,5.2
000780,*ST平能,SZ,6.7,52.47,22.74,67.81,4.3
000782,美达股份,SZ,5.2,51.93,22.49,53.53,4.3
000783,长江证券,SZ,7.3,73.03,20.19,62.95,5.2
000785,居然之家,SZ,6.1,66.49,20.0,62.85,5.0
000786,北新建材,SZ,6.6,67.63,24.29,46.20,4.9
000788,北大医药,SZ,5.3,57.91,24.54,57.79,4.3
000789,万年青,SZ,7.9,75.22,44.39,55.50,7.2
000790,华神科技,SZ,6.3,61.06,20.53,66.52,3.9
000791,甘肃电投,SZ,6.6,64.03,29.53,49.09,4.6
000792,*ST盐湖,SZ,6.5,0.001,20.43,58.49,4.6
000793,华闻集团,SZ,6.7,56.16,21.39,52.03,4.5
000795,英洛华,SZ,6.5,64.94,20.01,73.65,5.0
000796,凯撒旅业,SZ,6.8,63.09,46.59,55.87,6.7
000797,中国武夷,SZ,6.9,71.76,38.79,59.74,5.9
000798,中水渔业,SZ,5.8,58.16,24.31,65.73,4.5
000799,酒鬼酒,SZ,7.7,70.97,80.26,50.71,6.4
000800,一汽轿车,SZ,7.5,62.41,20.2,52.83,5.3
000801,四川九洲,SZ,6.9,63.42,44.75,55.75,6.0
000802,北京文化,SZ,6.7,46.22,20.24,44.82,4.4
000803,*ST金宇,SZ,6.0,46,24.1,68.18,3.9
000806,ST银河,SZ,5.7,49.84,20.01,56.96,4.6
000807,云铝股份,SZ,8.0,67.72,42.69,58.10,5.8
000809,铁岭新城,SZ,6.8,54.39,20.39,52.40,4.4
000810,创维数字,SZ,7.1,71.07,24.77,60.06,5.5
000811,冰轮环境,SZ,6.7,62.22,28.99,66.38,3.6
000812,陕西金叶,SZ,7.0,64.69,23.7,67.85,4.7
000813,德展健康,SZ,6.2,65.27,20.24,51.47,4.7
000815,美利云,SZ,6.4,66.25,23.28,50.60,5.4
000816,ST慧业,SZ,6.5,57.33,91.12,59.75,5.7
000818,航锦科技,SZ,7.6,74.73,30.24,53.88,6.3
000819,岳阳兴长,SZ,6.2,60.37,40.81,73.49,4.4
000820,*ST节能,SZ,6.3,57.42,20.33,55.30,5.0
000821,京山轻机,SZ,6.5,61.34,20.0,65.40,4.6
000822,山东海化,SZ,5.8,59.67,22.04,70.24,4.6
000823,超声电子,SZ,7.6,73.63,25.42,55.25,5.5
000825,太钢不锈,SZ,7.1,73.19,20.24,54.87,4.3
000826,启迪环境,SZ,6.9,63.87,22.38,57.59,5.2
000828,东莞控股,SZ,7.6,73.5,80.99,71.49,5.6
000829,天音控股,SZ,7.0,66.68,20.07,60.84,5.6
000830,鲁西化工,SZ,7.0,69.19,21.22,65.98,5.2
000831,五矿稀土,SZ,6.8,67.66,20.42,66.77,4.9
000833,粤桂股份,SZ,5.9,54.38,20.64,66.82,4.5
000835,长城动漫,SZ,5.7,47.82,20.18,50.83,4.5
000836,富通鑫茂,SZ,5.5,51.93,20.86,45.38,3.2
000837,*ST秦机,SZ,6.7,57.42,26.89,58.18,4.4
000838,财信发展,SZ,6.0,63.94,20.94,71.12,4.7
000839,中信国安,SZ,6.7,64.12,20.02,55.34,4.2
000848,承德露露,SZ,6.9,68.37,20.68,62.68,5.1
000850,华茂股份,SZ,5.8,52.49,20.84,61.70,3.8
000851,高鸿股份,SZ,6.6,60.06,96.11,68.56,4.7
000852,石化机械,SZ,5.9,61.26,20.81,58.55,4.8
000856,冀东装备,SZ,5.1,58.05,20.45,62.20,4.8
000858,五粮液,SZ,7.5,79.74,65.36,52.36,6.5
000859,国风塑业,SZ,7.6,65.72,79.64,51.60,5.4
000860,顺鑫农业,SZ,6.7,69.23,72.91,39.35,5.1
000861,海印股份,SZ,7.6,63.81,27.44,46.79,6.3
000862,银星能源,SZ,6.0,60.71,23.83,62.49,4.3
000863,三湘印象,SZ,6.0,56.3,21.45,52.13,5.8
000868,*ST安凯,SZ,5.2,56.37,20.07,72.64,4.8
000869,张裕A,SZ,7.3,63.01,46.76,63.84,6.1
000875,吉电股份,SZ,7.2,66.24,88.89,54.27,6.2
000876,新希望,SZ,7.2,71.46,83.12,51.96,5.4
000877,天山股份,SZ,8.1,70.44,75.64,61.17,6.5
000878,云南铜业,SZ,7.4,72,22.26,58.50,5.6
000880,潍柴重机,SZ,6.5,68.74,75.0,67.04,6.0
000881,中广核技,SZ,5.6,57.29,21.23,74.80,3.7
000882,华联股份,SZ,5.2,53.17,36.05,61.55,4.3
000883,湖北能源,SZ,7.3,70.95,56.8,54.03,6.5
000885,城发环境,SZ,7.0,71.5,34.31,65.99,5.3
000886,海南高速,SZ,6.4,58.65,34.34,53.07,4.6
000887,中鼎股份,SZ,7.4,68.27,20.1,61.62,4.8
000888,峨眉山A,SZ,7.0,64.93,20.79,75.73,5.1
000889,中嘉博创,SZ,6.4,63.45,23.92,55.44,4.7
000890,*ST胜尔,SZ,6.1,46.03,20.55,67.11,4.2
000892,欢瑞世纪,SZ,6.5,57.35,20.69,55.81,5.3
000893,东凌国际,SZ,4.6,56.29,20.01,55.45,4.2
000895,双汇发展,SZ,7.2,73.97,47.57,47.69,5.5
000897,*ST津滨,SZ,6.7,63.73,20.35,55.91,5.0
000898,鞍钢股份,SZ,6.9,70.23,20.96,63.70,5.1
000899,赣能股份,SZ,6.6,64.77,20.96,73.30,5.1
000900,现代投资,SZ,7.6,63.81,20.69,74.47,5.8
000901,航天科技,SZ,7.3,68.41,22.0,63.51,4.9
000902,新洋丰,SZ,7.6,78.18,89.09,59.69,5.8
000903,云内动力,SZ,6.1,58.4,99.7,45.39,5.0
000905,厦门港务,SZ,6.7,63.02,21.0,78.54,5.0
000906,浙商中拓,SZ,7.6,75.78,28.37,75.71,6.1
000908,景峰医药,SZ,5.6,52.97,28.93,68.55,4.2
000909,数源科技,SZ,6.7,63.18,21.29,65.82,4.6
000910,大亚圣象,SZ,6.9,61.59,20.0,52.72,5.5
000911,*ST南糖,SZ,5.5,62.05,20.09,73.12,4.7
000912,泸天化,SZ,6.8,68.47,20.74,72.65,4.8
000913,钱江摩托,SZ,6.1,62.23,23.52,54.61,4.9
000915,山大华特,SZ,7.1,68.72,81.81,58.29,4.9
000917,电广传媒,SZ,7.0,53.3,48.9,71.64,4.5
000918,嘉凯城,SZ,6.4,59.33,20.27,56.72,4.8
000919,金陵药业,SZ,5.8,53.62,47.64,47.98,4.0
000920,南方汇通,SZ,6.2,62.59,20.02,65.85,4.9
000921,海信家电,SZ,7.4,71.25,24.62,65.25,5.9
000922,佳电股份,SZ,6.7,72.69,20.32,73.64,5.2
000923,河钢资源,SZ,6.2,69.2,20.16,81.64,5.3
000925,众合科技,SZ,6.1,59.67,20.34,64.59,5.1
000926,福星股份,SZ,7.5,63.72,38.63,62.43,5.6
000927,*ST夏利,SZ,5.8,49.45,20.01,47.93,4.0
000928,中钢国际,SZ,6.7,68.17,20.41,63.88,5.9
000929,兰州黄河,SZ,6.3,55.21,20.42,68.65,4.4
000930,中粮科技,SZ,6.8,67.34,82.23,57.18,4.5
000931,中关村,SZ,6.5,59.55,20.77,49.52,4.1
